Search for FDA Guidance Documents | FDA,,,,,,,,
Summary,Document,Issue Date,FDA Organization,Topic,Guidance Status,Open for Comment,Comment Closing Date on Draft,Docket Number
The Special 510(k) Program:  Guidance for Industry and Food and Drug Administration Staff,PDF (672.44 KB)PDF (672.44 KB) of The Special 510(k) Program:  Guidance for Industry and Food and Drug Administration Staff,09/13/2019,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket, 510(k), Administrative / Procedural",Final,No,,FDA-2018-D-3304
Humanitarian Device Exemption (HDE) Program:  Guidance for Industry and Food and Drug Administration Staff,PDF (957.02 KB)PDF (957.02 KB) of Humanitarian Device Exemption (HDE) Program:  Guidance for Industry and Food and Drug Administration Staff,09/06/2019,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket, Good Clinical Practice (GCP), HUD/HDE, Premarket Approval (PMA)",Final,No,,FDA-2014-D-0223
Humanitarian Use Device (HUD) Designations :  Guidance for Industry and Food and Drug Administration Staff,PDF (349.8 KB)PDF (349.8 KB) of Humanitarian Use Device (HUD) Designations :  Guidance for Industry and Food and Drug Administration Staff,09/05/2019,Center for Biologics Evaluation and ResearchCenter for Devices and Radiological Health,"Premarket, Good Clinical Practice (GCP)",Final,No,,FDA-2014-D-0223
Evaluation of Internal Standard Responses During Chromatographic Bioanalysis: Questions and Answers,PDF (117.32 KB)PDF (117.32 KB) of Evaluation of Internal Standard Responses During Chromatographic Bioanalysis: Questions and Answers,09/04/2019,Center for Drug Evaluation and Research,Biopharmaceutics,Final,No,,FDA-2009-D-0008
Guidance for Industry: Policy Related to Cranberry Products with Added Flavorings,PDF (291.77 KB)PDF (291.77 KB) of Guidance for Industry: Policy Related to Cranberry Products with Added Flavorings,08/30/2019,Human Foods Program,"Labeling, Nutrition Label",Final,No,,FDA-2018-D-0075
"Consideration of Uncertainty in Making Benefit-Risk Determinations in Medical Device Premarket Approvals, De Novo Classifications, and Humanitarian Device Exemptions:  Guidance for Industry and Food and Drug Administration Staff","PDF (510.27 KB)PDF (510.27 KB) of Consideration of Uncertainty in Making Benefit-Risk Determinations in Medical Device Premarket Approvals, De Novo Classifications, and Humanitarian Device Exemptions:  Guidance for Industry and Food and Drug Administration Staff",08/30/2019,Center for Devices and Radiological Health,"Postmarket, Premarket Approval (PMA), HUD/HDE",Final,No,,FDA-2018-D-3130
Factors to Consider When Making Benefit-Risk Determinations in Medical Device Premarket Approval and De Novo Classifications:  Guidance for Industry and Food and Drug Administration Staff,PDF (642.92 KB)PDF (642.92 KB) of Factors to Consider When Making Benefit-Risk Determinations in Medical Device Premarket Approval and De Novo Classifications:  Guidance for Industry and Food and Drug Administration Staff,08/30/2019,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket, Premarket Approval (PMA)",Final,No,,FDA-2011-D-0577
Placebos and Blinding in Randomized Controlled Cancer Clinical Trials for Drug and Biological Products Guidance for Industry,PDF (69.75 KB)PDF (69.75 KB) of Placebos and Blinding in Randomized Controlled Cancer Clinical Trials for Drug and Biological Products Guidance for Industry,08/29/2019,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Clinical - Medical,Final,No,,FDA-2018-D-3092
CVM GFI #257 (VICH GL57) Studies to Evaluate the Metabolism and Residue Kinetics of Veterinary Drugs in Food-Producing Species: Marker Residue Depletion Studies to Establish Product Withdrawal Periods in Aquatic Species,PDF (152.79 KB)PDF (152.79 KB) of CVM GFI #257 (VICH GL57) Studies to Evaluate the Metabolism and Residue Kinetics of Veterinary Drugs in Food-Producing Species: Marker Residue Depletion Studies to Establish Product Withdrawal Periods in Aquatic Species,08/19/2019,Center for Veterinary Medicine,"Human Food Safety, VICH, Minor Use/ Minor Species (MUMS)",Final,No,09/24/2018,FDA-2018-D-2354
"Guidance for Industry: Converting Units of Measure for Folate, Niacin, and Vitamins A, D, and E on the Nutrition and Supplement Facts Labels","PDF (247.1 KB)PDF (247.1 KB) of Guidance for Industry: Converting Units of Measure for Folate, Niacin, and Vitamins A, D, and E on the Nutrition and Supplement Facts Labels",08/15/2019,Human Foods Program,"Labeling, Nutrition Label",Final,No,,FDA-2016-D-4484
Osteoporosis:  Nonclinical Evaluation of Drugs Intended for Treatment Guidance for Industry:  Guidance for Industry,PDF (94.69 KB)PDF (94.69 KB) of Osteoporosis:  Nonclinical Evaluation of Drugs Intended for Treatment Guidance for Industry:  Guidance for Industry,08/15/2019,Center for Drug Evaluation and Research,"Clinical - Medical, Pharmacology/Toxicology",Final,No,,FDA-2016-D-1273
Child-Resistant Packaging Statements in Drug Product Labeling Guidance for Industry,PDF (97.52 KB)PDF (97.52 KB) of Child-Resistant Packaging Statements in Drug Product Labeling Guidance for Industry,08/13/2019,Center for Drug Evaluation and Research,Labeling,Final,No,,FDA-2017-D-2163
Gastroparesis: Clinical Evaluation of Drugs for Treatment Guidance for Industry,PDF (99.88 KB)PDF (99.88 KB) of Gastroparesis: Clinical Evaluation of Drugs for Treatment Guidance for Industry,08/13/2019,Center for Drug Evaluation and Research,Clinical - Medical,Draft,No,10/14/2019,FDA-2015-D-2479
Fabry Disease: Developing Drugs for Treatment Guidance for Industry,PDF (285.28 KB)PDF (285.28 KB) of Fabry Disease: Developing Drugs for Treatment Guidance for Industry,08/07/2019,Center for Drug Evaluation and Research,Clinical - Medical,Draft,No,11/06/2019,FDA-2019-D-2973
Oncology Therapeutic Radiopharmaceuticals: Nonclinical Studies and Labeling Recommendations Guidance for Industry,PDF (167.51 KB)PDF (167.51 KB) of Oncology Therapeutic Radiopharmaceuticals: Nonclinical Studies and Labeling Recommendations Guidance for Industry,08/02/2019,Center for Drug Evaluation and Research,Pharmacology/Toxicology,Final,No,,FDA-2018-D-1772
Bacterial Vaginosis: Developing Drugs for Treatment Guidance for Industry,PDF (269.89 KB)PDF (269.89 KB) of Bacterial Vaginosis: Developing Drugs for Treatment Guidance for Industry,08/01/2019,Center for Drug Evaluation and Research,Clinical - Antimicrobial,Final,No,,FDA-2016-D-1659
Uncomplicated Urinary Tract Infections: Developing Drugs for Treatment Guidance for Industry,PDF (301.3 KB)PDF (301.3 KB) of Uncomplicated Urinary Tract Infections: Developing Drugs for Treatment Guidance for Industry,08/01/2019,Center for Drug Evaluation and Research,Clinical - Antimicrobial,Final,No,,FDA-2018-D-1562
Vulvovaginal Candidiasis:  Developing Drugs for Treatment,PDF (91.37 KB)PDF (91.37 KB) of Vulvovaginal Candidiasis:  Developing Drugs for Treatment,08/01/2019,Center for Drug Evaluation and Research,Clinical - Antimicrobial,Final,No,,FDA-2016-D-1662
Rare Pediatric Disease Priority Review Vouchers: Draft Guidance for Industry,PDF (306.41 KB)PDF (306.41 KB) of Rare Pediatric Disease Priority Review Vouchers: Draft Guidance for Industry,07/30/2019,"Center for Biologics Evaluation and ResearchOffice of the Commissioner,Office of Clinical Policy and Programs,Office of Orphan Products Development","Rare Diseases, Administrative / Procedural, Pediatric Product Development",Draft,No,09/28/2019,FDA-2014-D-1461
Delayed Graft Function in Kidney Transplantation: Developing Drugs for Prevention Guidance for Industry,PDF (277.36 KB)PDF (277.36 KB) of Delayed Graft Function in Kidney Transplantation: Developing Drugs for Prevention Guidance for Industry,07/29/2019,Center for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,Clinical - Medical,Final,No,,FDA-2017-D-0198
Metal Expandable Biliary Stents - Premarket Notification (510(k)) Submissions:  Guidance for Industry and Food and Drug Administration Staff,PDF (369.7 KB)PDF (369.7 KB) of Metal Expandable Biliary Stents - Premarket Notification (510(k)) Submissions:  Guidance for Industry and Food and Drug Administration Staff,07/26/2019,Center for Devices and Radiological Health,"Premarket, 510(k), Gastroenterology-Urology",Final,No,,FDA-2018-D-1771
Providing Regulatory Submissions in Electronic Format--Submission of Manufacturing Establishment Information Guidance for Industry,,07/23/2019,Center for Drug Evaluation and Research,,Draft,No,,
CVM GFI #181 Blue Bird Medicated Feed Labels,PDF (146.78 KB)PDF (146.78 KB) of CVM GFI #181 Blue Bird Medicated Feed Labels,07/23/2019,Center for Veterinary Medicine,"Animal Feed, Labeling",Final,No,,FDA-2008-D-0165
Postmarketing Safety Reporting for Combination Products:  Guidance for Industry and FDA Staff,PDF (620.95 KB)PDF (620.95 KB) of Postmarketing Safety Reporting for Combination Products:  Guidance for Industry and FDA Staff,07/22/2019,"Office of the Commissioner,Office of Clinical Policy and Programs,Office of Combination ProductsCenter for Drug Evaluation and ResearchCenter for Devices and Radiological HealthCenter for Biologics Evaluation and Research",Combination Products,Final,No,06/19/2018,FDA-2008-N-0424
Submitting Next Generation Sequencing Data to the Division of Antiviral Products Guidance for Industry Technical Specifications Document,PDF (250.51 KB)PDF (250.51 KB) of Submitting Next Generation Sequencing Data to the Division of Antiviral Products Guidance for Industry Technical Specifications Document,07/18/2019,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and ResearchCenter for Devices and Radiological Health,Clinical - Antimicrobial,Final,No,,FDA-2017-D-6821
Establishing Effectiveness and Safety for Hormonal Drug Products Intended to Prevent Pregnancy Guidance for Industry,PDF (133.02 KB)PDF (133.02 KB) of Establishing Effectiveness and Safety for Hormonal Drug Products Intended to Prevent Pregnancy Guidance for Industry,07/12/2019,Center for Drug Evaluation and Research,Clinical - Medical,Draft,No,09/11/2019,FDA-2019-D-2153
Using the Inactive Ingredient Database Guidance for Industry,PDF (121.68 KB)PDF (121.68 KB) of Using the Inactive Ingredient Database Guidance for Industry,07/11/2019,Center for Drug Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Drug Competition Action Plan, Pharmaceutical Quality",Draft,No,10/09/2019,FDA-2019-D-2397
"Live Case Presentations During Investigational Device Exemption (IDE) Clinical Trials:  Guidance for Institutional Review Boards, Industry, Clinical Investigators, and Food and Drug Administration Staff","PDF (345.35 KB)PDF (345.35 KB) of Live Case Presentations During Investigational Device Exemption (IDE) Clinical Trials:  Guidance for Institutional Review Boards, Industry, Clinical Investigators, and Food and Drug Administration Staff",07/11/2019,Center for Devices and Radiological Health,"Premarket, Good Clinical Practice (GCP), Pediatric Product Development, Investigational Device Exemption (IDE)",Final,No,,FDA-2014-D-0331
Harmonizing Compendial Standards With Drug Application Approval Using the USP Pending Monograph Process Guidance for Industry,PDF (176.07 KB)PDF (176.07 KB) of Harmonizing Compendial Standards With Drug Application Approval Using the USP Pending Monograph Process Guidance for Industry,07/10/2019,Center for Drug Evaluation and ResearchCenter for Veterinary Medicine,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality, Drug Competition Action Plan",Draft,No,09/10/2019,FDA-2019-D-1768
Risk Evaluation and Mitigation Strategies: Modifications and Revisions Guidance for Industry,PDF (371.97 KB)PDF (371.97 KB) of Risk Evaluation and Mitigation Strategies: Modifications and Revisions Guidance for Industry,07/09/2019,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Device & Drug Safety,Final,No,,FDA-2014-D-1747
Compliance Policy for Certain Compounding of Oral Oxitriptan (5-HTP) Drug Products for Patients With Tetrahydrobiopterin (BH4) Deficiency Immediately in Effect Guidance for Industry,PDF (77.61 KB)PDF (77.61 KB) of Compliance Policy for Certain Compounding of Oral Oxitriptan (5-HTP) Drug Products for Patients With Tetrahydrobiopterin (BH4) Deficiency Immediately in Effect Guidance for Industry,07/08/2019,Center for Drug Evaluation and Research,Compounding,Final,No,,FDA-2019-D-2733
Drug Abuse and Dependence Section of Labeling for Human Prescription Drug and Biological Products —  Content and Format   Guidance for Industry,PDF (130.14 KB)PDF (130.14 KB) of Drug Abuse and Dependence Section of Labeling for Human Prescription Drug and Biological Products —  Content and Format   Guidance for Industry,07/01/2019,Center for Drug Evaluation and Research,Labeling,Draft,No,09/02/2019,FDA-2019-D-1917
Epidermolysis Bullosa:  Developing Drugs for Treatment of Cutaneous Manifestations; Guidance for Industry,PDF (259.75 KB)PDF (259.75 KB) of Epidermolysis Bullosa:  Developing Drugs for Treatment of Cutaneous Manifestations; Guidance for Industry,06/28/2019,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Clinical - Medical,Final,No,,FDA-2018-D-2016
Treatment for Heart Failure: Endpoints for Drug Development Guidance for Industry,PDF (86.02 KB)PDF (86.02 KB) of Treatment for Heart Failure: Endpoints for Drug Development Guidance for Industry,06/28/2019,Center for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,Clinical - Medical,Draft,No,08/27/2019,FDA-2019-D-2314
E19 OPTIMISATION OF SAFETY DATA COLLECTION,PDF (188.94 KB)PDF (188.94 KB) of E19 OPTIMISATION OF SAFETY DATA COLLECTION,06/27/2019,Center for Drug Evaluation and Research,ICH-Efficacy,Draft,No,08/26/2019,FDA-2019-D-1828
M10 BIOANALYTICAL METHOD VALIDATION,PDF (620.74 KB)PDF (620.74 KB) of M10 BIOANALYTICAL METHOD VALIDATION,06/26/2019,Center for Drug Evaluation and Research,"Clinical - Medical, ICH-Multidisciplinary",Draft,No,08/26/2019,FDA-2019-D-1469
Opioid Analgesic Drugs: Considerations for Benefit-Risk Assessment Framework Guidance for Industry,PDF (280.65 KB)PDF (280.65 KB) of Opioid Analgesic Drugs: Considerations for Benefit-Risk Assessment Framework Guidance for Industry,06/20/2019,Center for Drug Evaluation and Research,Clinical - Medical,Draft,No,08/20/2019,FDA-2019-D-1536
